gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,costat,ggroup
141460,20211231,2021,INDL,C,D,STD,SGEN,SEAGEN INC,USD,A,3520
141469,20211231,2021,INDL,C,D,STD,HBIO,HARVARD BIOSCIENCE INC,USD,A,3520
141496,20211231,2021,INDL,C,D,STD,DVAX,DYNAVAX TECHNOLOGIES CORP,USD,A,3520
141846,20211231,2021,INDL,C,D,STD,ACAD,ACADIA PHARMACEUTICALS INC,USD,A,3520
141913,20211231,2021,INDL,C,D,STD,GPN,GLOBAL PAYMENTS INC,USD,A,4510
142260,20211231,2021,INDL,C,D,STD,OIS,OIL STATES INTL INC,USD,A,1010
142337,20211231,2021,INDL,C,D,STD,NOG,NORTHERN OIL & GAS INC,USD,A,1010
142814,20210630,2021,INDL,C,D,STD,SYNA,SYNAPTICS INC,USD,A,4530
142953,20211231,2021,INDL,C,D,STD,MDLZ,MONDELEZ INTERNATIONAL INC,USD,A,3020
142956,20211231,2021,INDL,C,D,STD,OMCL,OMNICELL INC,USD,A,3510
143356,20211231,2021,INDL,C,D,STD,PRU,PRUDENTIAL FINANCIAL INC,USD,A,4030
143357,20210831,2021,INDL,C,D,STD,ACN,ACCENTURE PLC,USD,A,4510
144396,20211231,2021,INDL,C,D,STD,CCRN,CROSS COUNTRY HEALTHCARE INC,USD,A,3510
144435,20211231,2021,INDL,C,D,STD,BG,BUNGE LTD,USD,A,3020
144437,20211231,2021,INDL,C,D,STD,PDFS,PDF SOLUTIONS INC,USD,A,4530
144520,20211231,2021,INDL,C,D,STD,AMN,AMN HEALTHCARE SERVICES INC,USD,A,3510
144559,20211231,2021,INDL,C,D,STD,ZBH,ZIMMER BIOMET HOLDINGS INC,USD,A,3510
144640,20211231,2021,INDL,C,D,STD,ABG,ASBURY AUTOMOTIVE GROUP INC,USD,A,2550
144998,20211231,2021,INDL,C,D,STD,XPO,XPO LOGISTICS INC,USD,A,2030
145041,20211231,2021,INDL,C,D,STD,BGFV,BIG 5 SPORTING GOODS CORP,USD,A,2550
145046,20211231,2021,INDL,C,D,STD,ANTM,ANTHEM INC,USD,A,3510
145049,20220131,2021,INDL,C,D,STD,GME,GAMESTOP CORP,USD,A,2550
145552,20211231,2021,INDL,C,D,STD,CNC,CENTENE CORP,USD,A,3510
145701,20211231,2021,INDL,C,D,STD,PFG,PRINCIPAL FINANCIAL GRP INC,USD,A,4030
145977,20211231,2021,INDL,C,D,STD,AAP,ADVANCE AUTO PARTS INC,USD,A,2550
146017,20210831,2021,INDL,C,D,STD,AYI,ACUITY BRANDS INC,USD,A,2010
146140,20211231,2021,INDL,C,D,STD,PDM,PIEDMONT OFFICE REALTY TRUST,USD,A,6010
146171,20211231,2021,INDL,C,D,STD,MANT,MANTECH INTL CORP,USD,A,2020
146616,20211231,2021,INDL,C,D,STD,CORT,CORCEPT THERAPEUTICS INC,USD,A,3520
146648,20211231,2021,INDL,C,D,STD,CUTR,CUTERA INC,USD,A,3510
147204,20211231,2021,INDL,C,D,STD,CCOI,COGENT COMMUNICATIONS HLDGS,USD,A,5010
147242,20220131,2021,INDL,C,D,STD,VRNT,VERINT SYSTEMS INC,USD,A,4510
147305,20211231,2021,INDL,C,D,STD,JBLU,JETBLUE AIRWAYS CORP,USD,A,2030
147579,20211231,2021,INDL,C,D,STD,NFLX,NETFLIX INC,USD,A,5020
147708,20211031,2021,INDL,C,D,STD,CVGW,CALAVO GROWERS INC,USD,A,3020
147849,20211231,2021,INDL,C,D,STD,CPSI,COMPUTER PROGRAMS & SYSTEMS,USD,A,3510
147868,20211231,2021,INDL,C,D,STD,OSTK,OVERSTOCK.COM INC,USD,A,2550
147988,20210930,2021,INDL,C,D,STD,ACM,AECOM,USD,A,2010
148223,20211231,2021,INDL,C,D,STD,GLDD,GREAT LAKES DREDGE & DOCK CP,USD,A,2010
148349,20210930,2021,INDL,C,D,STD,TDG,TRANSDIGM GROUP INC,USD,A,2010
148350,20211231,2021,INDL,C,D,STD,TA,TRAVELCENTERS OF AMERICA INC,USD,A,2550
148390,20211231,2021,INDL,C,D,STD,FORM,FORMFACTOR INC,USD,A,4530
148469,20211231,2021,INDL,C,D,STD,SAFT,SAFETY INSURANCE GROUP INC,USD,A,4030
148950,20211231,2021,INDL,C,D,STD,NPO,ENPRO INDUSTRIES INC,USD,A,2010
149070,20211231,2021,INDL,C,D,STD,CME,CME GROUP INC,USD,A,4020
149177,20211231,2021,INDL,C,D,STD,NXST,NEXSTAR MEDIA GROUP,USD,A,5020
149318,20211231,2021,INDL,C,D,STD,WYNN,WYNN RESORTS LTD,USD,A,2530
149337,20211231,2021,INDL,C,D,STD,NDAQ,NASDAQ INC,USD,A,4020
149618,20211231,2021,INDL,C,D,STD,BANC,BANC OF CALIFORNIA INC,USD,A,4010
150139,20220131,2021,INDL,C,D,STD,DKS,DICKS SPORTING GOODS INC,USD,A,2550
150278,20211231,2021,INDL,C,D,STD,CRI,CARTER'S INC,USD,A,2520
150279,20211231,2021,INDL,C,D,STD,PFS,PROVIDENT FINANCIAL SVCS INC,USD,A,4010
150306,20211231,2021,INDL,C,D,STD,TCBI,TEXAS CAPITAL BANCSHARES INC,USD,A,4010
150477,20211231,2021,INDL,C,D,STD,PRAA,PRA GROUP INC,USD,A,4020
150481,20211231,2021,INDL,C,D,STD,SAIA,SAIA INC,USD,A,2030
151630,20211231,2021,INDL,C,D,STD,HALO,HALOZYME THERAPEUTICS INC,USD,A,3520
152049,20211231,2021,INDL,C,D,STD,FBMS,FIRST BANCSHARES INC/MS,USD,A,4010
152149,20211231,2021,INDL,C,D,STD,MOH,MOLINA HEALTHCARE INC,USD,A,3510
153130,20211231,2021,INDL,C,D,STD,AXS,AXIS CAPITAL HOLDINGS LTD,USD,A,4030
154039,20211231,2021,INDL,C,D,STD,NTGR,NETGEAR INC,USD,A,4520
154739,20211231,2021,INDL,C,D,STD,GOOD,GLADSTONE COMMERCIAL CORP,USD,A,6010
155280,20211231,2021,INDL,C,D,STD,ATSG,AIR TRANSPORT SERVICES GROUP,USD,A,2030
155393,20211231,2021,INDL,C,D,STD,WLL,WHITING PETROLEUM CORP,USD,A,1010
155394,20211231,2021,INDL,C,D,STD,LKQ,LKQ CORP,USD,A,2550
155738,20211231,2021,INDL,C,D,STD,NNI,NELNET INC,USD,A,4020
155754,20211231,2021,INDL,C,D,STD,AHT,ASHFORD HOSPITALITY TRUST,USD,A,6010
156155,20211130,2021,INDL,C,D,STD,SNX,TD SYNNEX CORPORATION,USD,A,4520
156383,20211231,2021,INDL,C,D,STD,AEL,AMERICAN EQTY INVT LIFE HLDG,USD,A,4030
156614,20220131,2021,INDL,C,D,STD,CONN,CONN'S INC,USD,A,2550
156861,20211231,2021,INDL,C,D,STD,TPX,TEMPUR SEALY INTL INC,USD,A,2520
156953,20211231,2021,INDL,C,D,STD,HTH,HILLTOP HOLDINGS INC,USD,A,4010
157057,20211231,2021,INDL,C,D,STD,AIZ,ASSURANT INC,USD,A,4030
157153,20210930,2021,INDL,C,D,STD,CMP,COMPASS MINERALS INTL INC,USD,A,1510
157679,20211231,2021,INDL,C,D,STD,SRC,SPIRIT REALTY CAPITAL INC,USD,A,6010
157855,20220131,2021,INDL,C,D,STD,CRM,SALESFORCE INC,USD,A,4510
157865,20210630,2021,INDL,C,D,STD,MEIP,MEI PHARMA INC,USD,A,3520
157955,20211231,2021,INDL,C,D,STD,AGO,ASSURED GUARANTY LTD,USD,A,4030
158053,20211231,2021,INDL,C,D,STD,NYMT,NEW YORK MORTGAGE TRUST INC,USD,A,4020
158354,20211231,2021,INDL,C,D,STD,GNW,GENWORTH FINANCIAL INC,USD,A,4030
158563,20211231,2021,INDL,C,D,STD,CYTK,CYTOKINETICS INC,USD,A,3520
158587,20211231,2021,INDL,C,D,STD,TBBK,BANCORP INC,USD,A,4010
158737,20211231,2021,INDL,C,D,STD,SP,SP PLUS CORP,USD,A,2020
158742,20211231,2021,INDL,C,D,STD,MKTX,MARKETAXESS HOLDINGS INC,USD,A,4020
158743,20211231,2021,INDL,C,D,STD,BGS,B&G FOODS INC,USD,A,3020
160173,20211231,2021,INDL,C,D,STD,ABR,ARBOR REALTY TRUST INC,USD,A,4020
160211,20211231,2021,INDL,C,D,STD,DPZ,DOMINO'S PIZZA INC,USD,A,2530
160225,20211231,2021,INDL,C,D,STD,MA,MASTERCARD INC,USD,A,4510
160329,20211231,2021,INDL,C,D,STD,GOOGL,ALPHABET INC,USD,A,5020
160340,20211231,2021,INDL,C,D,STD,MNKD,MANNKIND CORP,USD,A,3520
160341,20211231,2021,INDL,C,D,STD,WTI,W&T OFFSHORE INC,USD,A,1010
160373,20211231,2021,INDL,C,D,STD,MORN,MORNINGSTAR INC,USD,A,4020
160376,20211231,2021,INDL,C,D,STD,TXRH,TEXAS ROADHOUSE INC,USD,A,2530
160479,20211231,2021,INDL,C,D,STD,EXR,EXTRA SPACE STORAGE INC,USD,A,6010
160598,20210930,2021,INDL,C,D,STD,BECN,BEACON ROOFING SUPPLY INC,USD,A,2010
160621,20211231,2021,INDL,C,D,STD,SFL,SFL CORP LTD,USD,A,1010
160668,20211231,2021,INDL,C,D,STD,INVA,INNOVIVA INC,USD,A,3520
160681,20211231,2021,INDL,C,D,STD,HY,HYSTER-YALE MATERIALS HNDLNG,USD,A,2010
160684,20211231,2021,INDL,C,D,STD,WLK,WESTLAKE CHEMICAL CORP,USD,A,1510
160706,20211231,2021,INDL,C,D,STD,DRH,DIAMONDROCK HOSPITALITY CO,USD,A,6010
160770,20211231,2021,INDL,C,D,STD,MRTX,MIRATI THERAPEUTICS INC,USD,A,3520
160776,20211231,2021,INDL,C,D,STD,SBNY,SIGNATURE BANK/NY,USD,A,4010
160785,20211231,2021,INDL,C,D,STD,VVI,VIAD CORP,USD,A,2020
160888,20211231,2021,INDL,C,D,STD,MPWR,MONOLITHIC POWER SYSTEMS INC,USD,A,4530
160913,20211231,2021,INDL,C,D,STD,ORA,ORMAT TECHNOLOGIES INC,USD,A,5510
160990,20211231,2021,INDL,C,D,STD,CUBE,CUBESMART,USD,A,6010
160991,20211231,2021,INDL,C,D,STD,DLR,DIGITAL REALTY TRUST INC,USD,A,6010
161048,20211231,2021,INDL,C,D,STD,ACC,AMERICAN CAMPUS COMMUNITIES,USD,A,6010
161813,20211231,2021,INDL,C,D,STD,BXC,BLUELINX HOLDINGS INC,USD,A,2010
161844,20211231,2021,INDL,C,D,STD,LVS,LAS VEGAS SANDS CORP,USD,A,2530
161853,20210630,2021,INDL,C,D,STD,KRNY,KEARNY FINANCIAL CORP,USD,A,4010
161997,20211231,2021,INDL,C,D,STD,HURN,HURON CONSULTING GROUP INC,USD,A,2020
162127,20211231,2021,INDL,C,D,STD,CNSL,CONSOLIDATED COMM HLDGS INC,USD,A,5010
162129,20211231,2021,INDL,C,D,STD,MOS,MOSAIC CO,USD,A,1510
162146,20211231,2021,INDL,C,D,STD,CYRX,CRYOPORT INC,USD,A,3510
162160,20211231,2021,INDL,C,D,STD,MPW,MEDICAL PROPERTIES TRUST,USD,A,6010
162254,20211231,2021,INDL,C,D,STD,CE,CELANESE CORP,USD,A,1510
162264,20211231,2021,INDL,C,D,STD,NP,NEENAH INC,USD,A,1510
162293,20211231,2021,INDL,C,D,STD,INBK,FIRST INTERNET BANCORP,USD,A,4010
162354,20210930,2021,INDL,C,D,STD,DLB,DOLBY LABORATORIES INC,USD,A,4510
162385,20211231,2021,INDL,C,D,STD,WEX,WEX INC,USD,A,4510
162401,20211231,2021,INDL,C,D,STD,HUN,HUNTSMAN CORP,USD,A,1510
162404,20211231,2021,INDL,C,D,STD,LHCG,LHC GROUP INC,USD,A,3510
162449,20211231,2021,INDL,C,D,STD,EXLS,EXLSERVICE HOLDINGS INC,USD,A,4510
162453,20211231,2021,INDL,C,D,STD,AMTX,AEMETIS INC,USD,A,1010
162559,20211231,2021,INDL,C,D,STD,LAZ,LAZARD LTD,USD,A,4020
162887,20211231,2021,INDL,C,D,STD,DXCM,DEXCOM INC,USD,A,3510
162988,20220131,2021,INDL,C,D,STD,ZUMZ,ZUMIEZ INC,USD,A,2550
163036,20211231,2021,INDL,C,D,STD,BLDR,BUILDERS FIRSTSOURCE,USD,A,2010
163051,20220131,2021,INDL,C,D,STD,CTRN,CITI TRENDS INC,USD,A,2550
163113,20211231,2021,INDL,C,D,STD,KOP,KOPPERS HOLDINGS INC,USD,A,1510
163610,20211231,2021,INDL,C,D,STD,ICE,INTERCONTINENTAL EXCHANGE,USD,A,4020
163678,20211231,2021,INDL,C,D,STD,EVRI,EVERI HOLDINGS INC,USD,A,2530
163685,20211231,2021,INDL,C,D,STD,EGLE,EAGLE BULK SHIPPING INC,USD,A,2030
163765,20211231,2021,INDL,C,D,STD,CPS,COOPER-STANDARD HOLDINGS INC,USD,A,2510
163884,20211231,2021,INDL,C,D,STD,FSP,FRANKLIN STREET PROPERTIES,USD,A,6010
163889,20211231,2021,INDL,C,D,STD,ATRC,ATRICURE INC,USD,A,3510
163891,20211231,2021,INDL,C,D,STD,RUTH,RUTHS HOSPITALITY GROUP INC,USD,A,2530
163920,20211231,2021,INDL,C,D,STD,WAL,WESTERN ALLIANCE BANCORP,USD,A,4010
163924,20211231,2021,INDL,C,D,STD,JRVR,JAMES RIVER GROUP HLDGS LTD,USD,A,4030
163930,20211231,2021,INDL,C,D,STD,GNK,GENCO SHIPPING & TRADING,USD,A,2030
163946,20211231,2021,INDL,C,D,STD,CF,CF INDUSTRIES HOLDINGS INC,USD,A,1510
163965,20211231,2021,INDL,C,D,STD,CTSO,CYTOSORBENTS CORP,USD,A,3510
163983,20211231,2021,INDL,C,D,STD,THS,TREEHOUSE FOODS INC,USD,A,3020
164086,20210630,2021,INDL,C,D,STD,CMPR,CIMPRESS PLC,USD,A,2020
164116,20211231,2021,INDL,C,D,STD,OFLX,OMEGA FLEX INC,USD,A,2010
164363,20211231,2021,INDL,C,D,STD,TROX,TRONOX HOLDINGS PLC,USD,A,1510
164365,20211231,2021,INDL,C,D,STD,WSBF,WATERSTONE FINANCIAL INC,USD,A,4010
164416,20211231,2021,INDL,C,D,STD,IRBT,IROBOT CORP,USD,A,2520
164494,20211231,2021,INDL,C,D,STD,SPR,SPIRIT AEROSYSTEMS HOLDINGS,USD,A,2010
164506,20211231,2021,INDL,C,D,STD,ACCO,ACCO BRANDS CORP,USD,A,2020
164572,20211231,2021,INDL,C,D,STD,AMSF,AMERISAFE INC,USD,A,4030
164633,20211231,2021,INDL,C,D,STD,HOMB,HOME BANCSHARES INC,USD,A,4010
164652,20211231,2021,INDL,C,D,STD,BKD,BROOKDALE SENIOR LIVING INC,USD,A,3510
164660,20211231,2021,INDL,C,D,STD,CCO,CLEAR CHANNEL OUTDOOR HLDGS,USD,A,5020
164708,20211231,2021,INDL,C,D,STD,AMP,AMERIPRISE FINANCIAL INC,USD,A,4020
164755,20211231,2021,INDL,C,D,STD,CROX,CROCS INC,USD,A,2520
165051,20211231,2021,INDL,C,D,STD,SPWR,SUNPOWER CORP,USD,A,4530
165052,20211231,2021,INDL,C,D,STD,UAA,UNDER ARMOUR INC,USD,A,2520
165123,20211231,2021,INDL,C,D,STD,LDOS,LEIDOS HOLDINGS INC,USD,A,2020
165262,20211231,2021,INDL,C,D,STD,DHT,DHT HOLDINGS INC,USD,A,1010
165264,20211231,2021,INDL,C,D,STD,FNF,FIDELITY NATL FINL FNF GROUP,USD,A,4030
